"Titel","Album titel","SKU","Pris","Udgivet","Sti","Sti","Nid","Format"
"Beats In The Wood","S/T","NOV013","35,00 kr.","1","http://soundcloud.com/neh-owh-records/beats-in-the-wood-keep-it","Beats In The Wood-S/T","3099","<a href=""/da/12ep"">12""EP</a>"
"Beats In The Wood","S/T","NOV013","35,00 kr.","1","http://rillbar.dk/sites/default/files/beatsinthewoodfront.jpg","Beats In The Wood-S/T","3099","<a href=""/da/12ep"">12""EP</a>"
"Before The Show","Years & Years & Years","PONY37LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/before_the_show.jpg","Before The Show-Years & Years & Years","3101","<a href=""/da/lp"">LP</a>"
"Before The Show","Years & Years & Years","PONY37CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/before_the_show_0.jpg","Before The Show-Years & Years & Years","3100","<a href=""/da/cd"">CD</a>"
"Betting on the Mouse","BOTM","NA35","50,00 kr.","1","http://rillbar.dk/sites/default/files/betting-on-the-mouse-botm--_0.jpg","Betting on the Mouse-BOTM","3105","<a href=""/da/12-ep"">12"" EP</a>"
"Betting on the Mouse","BOTM","NA36","35,00 kr.","1","http://rillbar.dk/sites/default/files/betting-on-the-mouse-botm--.jpg","Betting on the Mouse-BOTM","3103","<a href=""/da/cd-ep"">CD-EP</a>"
"Betting On The Mouse","S/T","QA005","75,00 kr.","1","http://rillbar.dk/sites/default/files/Betting-On-The-Mouse.jpg","Betting On The Mouse-S/T","3102","<a href=""/da/lp"">LP</a>"
"Betting On The Mouse","S/T","QA005CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/Betting-On-The-Mouse_1.jpg","Betting On The Mouse-S/T","3104","<a href=""/da/cd"">CD</a>"
"Beurre Noir","Black Trash Fontaine","FKRLP00313","80,00 kr.","1","http://rillbar.dk/sites/default/files/images/Black_Trash_Fontaine.jpg","Beurre Noir-Black Trash Fontaine","3106","<a href=""/da/lp"">LP</a>"
"Bjørst","Blandt de levende","PLAY/REC39V","75,00 kr.","1","http://rillbar.dk/sites/default/files/bjoerst%2520cover.jpg","Bjørst-Blandt de levende","3107","<a href=""/da/lp"">LP</a>"
"Black Light White Light","Director's Cut","RERE01","30,00 kr.","1","http://rillbar.dk/sites/default/files/DCcover-BlackLightWhiteLight-DirectorsCutEP-2010-300x300.jpg","Black Light White Light-Director's Cut","3110","<a href=""/da/7"">7""</a>"
"Black Light White Light","Infrared Daylight","RERE02","100,00 kr.","1","http://www.youtube.com/watch?v=MIcNsjh_1tg","Black Light White Light-Infrared Daylight","3109","<a href=""/da/12lp-ltd"">12""LP ltd.</a>"
"Black Light White Light","Infrared Daylight","RERE02","100,00 kr.","1","http://rillbar.dk/sites/default/files/cover-BlackLightWhiteHeat-InfraredDaylight-2011-300x300.jpg","Black Light White Light-Infrared Daylight","3109","<a href=""/da/12lp-ltd"">12""LP ltd.</a>"
"Black Light White Light","Infrared Daylight","RERE03","75,00 kr.","1","http://rillbar.dk/sites/default/files/cover-BlackLightWhiteHeat-InfraredDaylight-2011-300x300_0.jpg","Black Light White Light-Infrared Daylight","3108","<a href=""/da/12lp"">12""LP</a>"
"Black Pus","All My Relations","T HRILL322LP","75,00 kr.","1","","Black Pus-All My Relations","3559","<a href=""/da/lp"">LP</a>"
"Black Rose Trick","Love Glove","VGR001","60,00 kr.","1","","Black Rose Trick-Love Glove","3111","<a href=""/da/cd"">CD</a>"
"Blända","Nico","FP0033","45,00 kr.","1","","Blända-Nico","3560","<a href=""/da/cd"">CD</a>"
"Blända","Minnesmissbruk","FP0039","60,00 kr.","1","","Blända-Minnesmissbruk","3561","<a href=""/da/cd"">CD</a>"
